ID	Delay	Delay2	Latency	Latency2	Success_Ratio	Energy	Hops	txPackets	rxPackets	ShortestPath	LongestPath	Orchestrators	Neighbors	Paths	Distance	DevFast	DevMedium	DevSlow	LoadSmall	LoadMedium	LoadBig
203	47.7927	49.9717	0.898311	3.07728	91.6667	0.735074	20	8	7	1	7	4	19	24	1066	0	4	5	0	2	7
845	56.7238	59.201	2.32939	4.80658	90.9091	0.734934	24	7	6	3	6	4	18	24	1313	0	2	7	0	0	9
76	55.0054	57.4771	0.691677	3.16339	100	0.734818	22	9	9	1	9	4	20	24	917	0	2	7	0	0	9
210	47.6608	49.3108	0.847063	2.49706	91.6667	0.73454	23	8	7	1	6	4	20	24	1137	0	4	5	0	2	7
988	48.3688	51.5961	1.43254	4.65989	100	0.734413	25	8	8	1	8	4	19	24	1136	0	2	7	0	4	5
486	69.5624	71.4773	1.02552	2.94046	92.3077	0.734344	28	10	9	1	11	3	18	43	1035	0	0	8	0	3	5
684	43.6178	46.3351	1.13824	3.85558	100	0.734215	19	7	7	1	6	4	19	24	842	0	3	6	0	2	7
509	106.783	108.647	3.26255	5.12558	66.6667	0.734081	44	13	8	1	14	2	18	62	1192	0	0	7	0	0	7
594	74.7916	77.9703	1.20683	4.38548	73.3333	0.734076	38	13	9	3	17	2	19	62	1198	0	2	5	0	3	4
539	51.4162	55.7229	1.2218	5.5285	91.6667	0.733727	18	8	7	1	3	4	17	24	1245	0	2	7	0	2	7
616	57.9101	59.6441	0.756463	2.49046	80	0.733514	29	12	9	1	10	3	19	43	912	1	2	5	0	3	5
702	46.0099	48.8356	1.49306	4.31868	91.6667	0.733314	21	8	7	1	6	4	19	24	1108	0	4	5	0	3	6
468	40.7571	42.1927	0.877562	2.31315	85.7143	0.733084	23	10	8	1	7	4	19	24	899	0	3	6	0	4	5
805	49.34	51.7914	0.832886	3.28419	91.6667	0.732922	19	8	7	1	5	4	20	24	777	0	2	7	0	1	8
849	44.1903	48.0288	2.80709	6.64556	85.7143	0.732892	29	10	8	2	8	3	19	43	1490	2	4	2	2	2	4
877	52.8072	54.5229	0.693464	2.40916	68.75	0.73278	19	12	7	1	7	4	19	24	1211	0	2	7	0	2	7
280	51.7143	53.9165	3.61994	5.82209	81.8182	0.73277	24	7	5	4	6	4	19	24	1132	0	2	7	0	4	5
955	47.5622	49.5877	0.783342	2.80887	81.25	0.732751	31	13	10	1	8	3	19	43	863	2	1	5	0	3	5
553	47.7856	49.3057	1.106	2.62613	90.9091	0.732674	13	7	6	1	3	4	18	24	774	0	2	7	0	2	7
300	63.5245	67.8813	2.32672	6.68351	82.3529	0.732574	28	14	11	2	7	3	20	43	1176	0	2	6	0	4	4
182	67.9044	71.904	1.88999	5.88964	92.3077	0.732367	45	10	9	2	10	3	18	43	1181	2	2	4	0	0	8
1000	55.5683	58.6802	1.03457	4.1464	68.75	0.73233	27	13	8	1	10	3	20	43	1210	0	3	5	0	0	8
462	55.4065	57.8978	1.0927	3.58408	100	0.732264	15	9	9	1	4	4	19	24	815	0	2	7	0	0	9
284	53.5267	56.4219	1.39291	4.28809	85.7143	0.731691	34	11	9	1	7	3	19	43	1243	0	2	6	0	2	6
514	54.9615	58.1218	1.36712	4.52739	66.6667	0.731642	30	15	9	2	11	3	19	43	1134	0	1	7	1	1	6
563	44.8849	45.8117	0.847063	1.77396	100	0.731617	13	5	5	2	4	5	19	5	978	2	0	8	0	2	8
2	43.0201	44.1282	0.540578	1.64864	90.9091	0.731547	14	7	6	1	7	4	20	24	774	0	2	7	0	3	6
478	43.6692	45.1778	1.16201	2.67068	90.9091	0.730916	20	7	6	2	5	4	19	24	1122	2	2	5	1	0	8
473	48.4921	49.8958	1.81258	3.21621	88.8889	0.730772	19	5	4	3	8	4	18	24	1183	2	2	5	0	0	9
388	58.8392	62.2552	1.5248	4.94078	100	0.73055	39	11	11	1	14	3	19	43	1319	0	2	6	0	2	6
146	58.1839	59.1914	0.489534	1.49703	84.6154	0.730479	13	9	7	1	3	4	18	24	1069	0	0	9	0	0	9
188	49.1807	53.1493	2.47357	6.44214	90.9091	0.730195	33	7	6	2	17	4	19	24	1086	0	2	7	0	3	6
934	32.2914	34.5857	2.41181	4.70612	90	0.730037	23	6	5	3	6	4	18	24	1167	0	2	7	4	4	1
99	71.8852	75.853	2.27079	6.23863	71.4286	0.730002	25	11	7	2	9	3	20	43	1178	0	2	6	0	0	8
598	58.2578	61.8861	1.70361	5.33198	92.3077	0.729902	39	10	9	1	14	3	17	43	1237	0	0	8	0	2	6
221	49.3142	50.1495	0.719834	1.55511	72.7273	0.729871	14	7	4	2	7	4	19	24	1072	2	2	5	0	2	7
946	47.1468	48.6057	0.467251	1.92614	100	0.729843	21	7	7	1	8	4	19	24	973	0	2	7	0	2	7
351	54.6545	56.9023	3.07783	5.32568	87.5	0.729808	32	13	11	1	14	3	20	43	809	0	1	7	0	4	4
147	60.3437	64.2496	1.11127	5.01714	77.7778	0.729754	22	15	11	1	5	3	20	43	967	0	4	4	2	0	6
371	62.206	66.9663	1.75232	6.51266	94.1176	0.729552	25	14	13	1	7	3	20	43	883	1	2	5	0	2	6
136	53.6935	56.0638	0.87978	3.25005	80	0.72941	20	11	8	1	7	4	20	24	1071	0	2	7	0	1	8
64	51.7921	54.8035	0.707241	3.71867	93.75	0.729335	29	14	13	1	7	2	20	62	973	0	2	5	2	1	4
251	44.9132	47.2969	0.833674	3.2173	80	0.729022	24	11	8	1	9	4	20	24	819	0	1	8	0	3	6
279	43.1028	44.2152	1.77037	2.88276	83.3333	0.728855	25	9	7	1	13	3	19	43	1171	2	2	4	2	2	4
558	50.2837	51.2045	0.469981	1.39078	92.3077	0.728811	13	9	8	1	4	4	20	24	1022	0	4	5	0	0	9
635	48.6967	50.197	0.860431	2.36079	86.6667	0.728763	20	11	9	1	7	4	19	24	1159	1	2	6	0	2	7
